찬송가,새찬송가,찬송가 제목,새찬송가 제목,조표,박자,작곡자,속도
1,1,만복의 근원 하나님,만복의 근원 하나님,4b,4월 4일,L.Bourgeois,보통으로
2,3,성부 성자 성령께,성부 성자와 성령,3#,4월 4일,C.Meineke,보통으로
3,5,이 천지간 만물들아,이 천지간 만물들아,2b,4월 4일,L.O.Emerson,보통으로
4,4,성부 성자와 성령,성부 성자와 성령,3b,4월 4일,H.W.Greatorex,보통으로
5,,주 성부 성자 성령께,주 성부 성자 성령께,1b,3월 4일,Anonymous,116
6,2,찬양 성부 성자 성령,찬양 성부 성자 성령,1#,6월 4일,T.Hastings,보통으로
7,,구주와 왕이신 우리의 하나님,구주와 우리의 하나님,1#,4월 4일,G.envanPslter,104
8,6,목소리 높여서,목소리 높여서,2#,4월 4일,Canon Hvergal,조금빠르게
9,8,거룩 거룩 거룩,거룩 거룩 거룩,2#,4월 4일,J.B.Dykes,보통으로
10,,거룩하신 하나님,거룩하신 하나님,1b,4월 4일,J.Blumenthal,112
11,42,거룩한 주님께,거룩한 주님께,2b,4월 4일,W.F.Sherwin,보통으로
12,33,고난받은 주를 보라,영광스런 주를 보라,1b,4월 4일,G.C.Stebbins,보통으로
13,64,기뻐하며 경배하세,기뻐하며 경배하세,1#,4월 4일,L.van Beethoven,조금빠르게
14,26,구세주를 아는 이들,구세주를 아는 이들,2b,4월 4일,T.German Melody,보통으로
15,,내 영혼 이제 깨어서,내 영혼 이제 깨어서,1#,4월 4일,W.Caldwell,100
16,170,내 주는 살아 계시고,내 주님은 살아계시고,2#,3월 4일,G.F.Handel,보통으로
17,,내가 한 맘으로,내가 한 맘으로,1b,4월 4일,Arr.F.J.Haydn,112
18,,내 영혼아 곧 깨어,내 영혼아 곧 깨어,1b,4월 4일,G. Lieder Frankfurt,96
19,65,내 영혼아 찬양하라,내 영혼아 찬양하라,2#,2월 4일,J.Goss,보통으로
20,66,다 감사 드리세,다 감사 드리세,1b,4월 4일,Har.F.Mendelssohn,보통으로
21,21,다 찬양하여라,다 찬양하여라,1#,3월 4일,Chorale Book,조금빠르게
